id_canton	nom_canton	electeurs_inscrits	bulletins_rentres	participation	blancs	nuls	bulletins_valables	oui	non	oui_pourcentage
ZH	Zürich	920475	446479	48.5	8498	120	437861	164319	273542	37.5
BE	Bern / Berne	732620	 NULL	42.3	NULL	NULL	309870	97798	212072	31.6
LU	Luzern	273901	126955	46.4	2024	724	124207	54135	70072	43.6
UR	Uri	26551	10240	38.6	180	84	9976	3738	6238	37.5
SZ	Schwyz	103739	48570	46.8	645	14	47911	22599	25312	47.2
OW	Obwalden	26489	12891	48.7	301	117	12473	5988	6485	48.0
NW	Nidwalden	31117	15107	48.5	343	136	14628	7443	7185	50.9
GL	Glarus	26316	10366	39.4	179	24	10163	3867	6296	38.0
ZG	Zug	76119	40356	53.0	595	11	39750	21585	18165	54.3
FR	Fribourg / Freiburg	198975	85834	43.1	2346	415	83073	30544	52529	36.8
SO	Solothurn	178546	82108	46.0	1362	45	80701	27494	53207	34.1
BS	Basel-Stadt	113943	58677	51.5	2284	19	56374	23965	32409	42.5
BL	Basel-Landschaft	188857	86106	45.6	1606	1469	83031	31261	51770	37.6
SH	Schaffhausen	50658	33168	65.5	2532	64	30572	12854	17718	42.0
AR	Appenzell Ausserrhoden	38781	19374	50.0	276	14	19084	8177	10907	42.8
AI	Appenzell Innerrhoden	11735	4679	39.9	34	88	4557	2221	2336	48.7
SG	St. Gallen	320519	141708	44.2	2155	32	139521	57653	81868	41.3
GR	Graubünden / Grigioni / Grischun	138202	68492	49.6	1730	777	65985	25123	40862	38.1
AG	Aargau	419707	180642	43.0	4271	68	176303	69088	107215	39.2
TG	Thurgau	170076	73826	43.4	1554	929	71343	28919	42424	40.5
TI	Ticino	220431	100406	45.5	4156	280	95970	49149	46821	51.2
VD	Vaud	437381	212021	48.5	9327	371	202323	103873	98450	51.3
VS	Valais / Wallis	219051	107561	49.1	2780	1800	102981	47965	55016	46.6
NE	Neuchâtel	112040	58157	51.9	3329	40	54788	23985	30803	43.8
GE	Genève	256614	126807	49.4	3990	17	122800	58614	64186	47.7
JU	Jura	52593	21838	41.5	697	134	21007	6949	14058	33.1
